ID,Firstname,Middlename,Lastname,date_of_birth,Income
1011,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
1012,Tom,Arthur,Whitehead,1997-02-13,65000
1013,Katie,,Poole,1997-06-06,17500
1014,Sam,Talmage,Goodland,1997-02-09,50000
1015,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
1016,Tom,Arthur,Whitehead,1997-02-13,65000
1017,Katie,,Poole,1997-06-06,17500
1018,Sam,Talmage,Goodland,1997-02-09,50000
1019,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
1020,Sam,Talmage,Goodland,1997-02-09,50000
1021,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
1022,Tom,Arthur,Whitehead,1997-02-13,65000
1023,Katie,,Poole,1997-06-06,17500
1024,Sam,Talmage,Goodland,1997-02-09,50000
